-0.8667,-9.8933,-5.0377,2.1222,-0.9844,1.4189
-0.6704,-10.6643,-2.7439,2.4377,-1.0594,1.5284
-0.7231,-12.5223,-0.0383,2.8127,-0.7889,1.7233
-0.1772,-12.8719,0.3017,3.3758,-0.0081,2.2895
1.4749,-13.3843,2.5188,3.6351,2.0894,4.1137
3.5532,-12.5846,2.5236,3.4665,3.6999,4.3551
5.6698,-7.1782,1.5228,2.3987,4.3871,4.3551
5.914,1.5276,0.1532,0.1777,4.3871,4.3551
5.6745,8.0162,-6.4743,-1.4961,4.3871,4.3551
3.7016,9.0889,-16.1186,-1.0879,4.3871,1.9659
1.7191,3.0025,-21.6207,0.63,4.3871,-1.0209
-3.4382,-3.3904,-21.2712,0.5595,1.729,-1.652
-3.6154,-2.5571,-16.9279,-0.5587,0.5076,-1.0785
-3.6537,-2.9833,-12.0003,-0.9578,-0.6933,-1.1067
-3.5819,-3.5963,-8.088,-0.9458,-1.3711,-1.2403
-2.6146,-5.392,-5.3106,-0.2985,-1.4227,-1.8182
